,price,equity,port_ret,w_actual,w_target,mu_ann,sigma_ann,band
2018-07-16,2798.429931640625,1.055185562113462,-0.001028135726814483,1.0,1.0,0.12302347385289297,0.09834491219802854,0.0005278106014556498
2018-07-17,2809.550048828125,1.059378551536778,0.00397369863071062,1.0,1.0,0.16595630869596587,0.09789426750229506,0.0005253920213524011
2018-07-18,2815.6201171875,1.0616673522751618,0.0021605126279586884,1.0,1.0,0.1801614515655768,0.0972071800704791,0.0005217044688137486
2018-07-19,2804.489990234375,1.0574705885353808,-0.003952993120479142,1.0,1.0,0.10778803910514863,0.09674128993817567,0.0005192040674666187
2018-07-20,2801.830078125,1.056467632977134,-0.0009484477101493471,1.0,1.0,0.0837999737771918,0.09597773148013759,0.0005151061000174017
2018-07-21,2801.830078125,1.056467632977134,0.0,1.0,1.0,0.07522361144962202,0.09520601868612945,0.0005109643687894936
2018-07-22,2801.830078125,1.056467632977134,0.0,1.0,1.0,0.06747288993084888,0.09444092075737666,0.0005068581391033626
2018-07-23,2806.97998046875,1.058409472770219,0.0018380494891383492,1.0,1.0,0.08614855120895656,0.0937621547455486,0.0005032152470722098
2018-07-24,2820.39990234375,1.0634696344155343,0.004780911145920941,1.0,1.0,0.14436043733336176,0.09350893988274224,0.0005018562597484302
2018-07-25,2846.070068359375,1.0731489150187343,0.009101605057599604,1.0,1.0,0.2577875865731209,0.09449785818765646,0.0005071637185039605
2018-07-26,2837.43994140625,1.0698948098302563,-0.0030322960242858965,1.0,1.0,0.19265790571411995,0.09395323635441191,0.0005042407693554386
2018-07-27,2818.820068359375,1.0628739368095301,-0.006562208692123761,1.0,1.0,0.08361631953871151,0.09414304521605747,0.0005052594608890181
2018-07-28,2818.820068359375,1.0628739368095301,0.0,1.0,1.0,0.07596346687142089,0.09338844096150445,0.0005012095500542347
2018-07-29,2818.820068359375,1.0628739368095301,0.0,1.0,1.0,0.069027025836199,0.09264020918410835,0.0004971938398804289
2018-07-30,2802.60009765625,1.0624230186575816,-0.00042424424603171307,0.0,0.0,-0.01796298346908119,0.09261030925237004,0.0004970333689358567
2018-07-31,2816.2900390625,1.0668106259894798,0.004129812000348121,0.9413427091296898,0.9413427091296898,0.05124879363320026,0.09240138122569481,0.0004959120661154491
2018-08-01,2813.360107421875,1.0662208358327092,-0.0005528536578116583,0.2565110331820248,0.2565110331820248,0.027724927361581532,0.09168424276927921,0.000492063231726889
2018-08-02,2827.219970703125,1.0710751995607326,0.0045528689412941414,1.0,1.0,0.09336271164137055,0.09148394886693913,0.0004909882676774103
2018-08-03,2840.35009765625,1.0760494688048332,0.004644183009877123,1.0,1.0,0.14957049390925173,0.09121219319961416,0.0004895297730891905
2018-08-04,2840.35009765625,1.0760494688048332,0.0,1.0,1.0,0.1363179545674608,0.09048335403074997,0.0004856181417552988
2018-08-05,2840.35009765625,1.0760494688048332,0.0,1.0,1.0,0.12449889236650227,0.08976058532417772,0.00048173909018869545
2018-08-06,2850.39990234375,1.079856776574569,0.003538227451535869,1.0,1.0,0.16317689969882626,0.08930406796976897,0.0004792889919170103
2018-08-07,2858.449951171875,1.0829064889225308,0.0028241822564987196,1.0,1.0,0.18875418265503377,0.08874887168298931,0.00047630929037982203
2018-08-08,2857.699951171875,1.0826223559551655,-0.0002623799656497061,1.0,1.0,0.16920322082960731,0.08804523844025468,0.0004725329375746649
2018-08-09,2853.580078125,1.0810615669498624,-0.0014416744645237012,1.0,1.0,0.13493149197896998,0.08740326410005221,0.0004690875039975921
